"manuscript","signature","library"
"https://imagoarchive.it/ontology/resources/manuscript/varsavia/varsavia,_biblioteca_nazionale/8052/201r-202v","8052","Varsavia, Biblioteca Nazionale"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/cotton_titus_a._xxvii/182r-185v","Cotton Titus A. XXVII","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/vienna/biblioteca_nazionale_austriaca/413/190r-196r","413","Biblioteca Nazionale Austriaca"
"https://imagoarchive.it/ontology/resources/manuscript/cambridge/corpus_christi_college/ms._66_a/127r-130r","ms. 66 A","Corpus Christi College"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/add._14252/92r-97v","Add. 14252","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/monaco_di_baviera/bayerische_staatsbibliothek/clm_21549/329v-334r","Clm 21549","Bayerische Staatsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/vienna/biblioteca_nazionale_austriaca/3130/163r-165v","3130","Biblioteca Nazionale Austriaca"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/lat._16730/280r","lat. 16730","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/oxford/biblioteca_bodleiana/digby_158/2r-5v","Digby 158","Biblioteca Bodleiana"
"https://imagoarchive.it/ontology/resources/manuscript/breslavia/wroclaw,_biblioteka_uniwersytecka/iii_q_1/97v-100v","III Q 1","Wroclaw, Biblioteka Uniwersytecka"
"https://imagoarchive.it/ontology/resources/manuscript/praga/praga,_knihovna_metropolitní_kapituly_/h_ix_(1063)/154r-167v","H IX (1063)","Praga, Knihovna Metropolitní Kapituly "
"https://imagoarchive.it/ontology/resources/manuscript/milano/biblioteca_ambrosiana/h_162_inf._/58r-65v","H 162 inf. ","Biblioteca Ambrosiana"
"https://imagoarchive.it/ontology/resources/manuscript/bratislava/bratislava,__archív_hlavného_mesta/84/203r-207r","84","Bratislava,  Archív Hlavného Mesta"
"https://imagoarchive.it/ontology/resources/manuscript/paderborn/paderborn,_archiv_des_paderborner_studienfonds/b_11/146r-147v","B 11","Paderborn, Archiv des Paderborner Studienfonds"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/lat._3563/147r-148v","lat. 3563","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/cambridge/cambridge_university_library/3235_(oo.78)/13r-16r","3235 (Oo.78)","Cambridge University Library"
"https://imagoarchive.it/ontology/resources/manuscript/firenze/biblioteca_medicea_laurenziana/plut._lat._89_sup._17/90r-95r","plut. lat. 89 sup. 17","Biblioteca Medicea Laurenziana"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/lat._3858a/200v-202r","lat. 3858A","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/bruxelles/__bruxelles,_kbr_(olim_bibliothèque_royale_«albert_ier»)/18706-11/247r-252v","18706-11","  Bruxelles, KBR (olim Bibliothèque Royale «Albert Ier»)"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/lat._2342/191r-193r","lat. 2342","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/fulda/fulda,_hessische_landesbibliothek/b_3/99r-107r","B 3","Fulda, Hessische Landesbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/furth_bei_göttweig/göttweig,_stiftsbibliothek/472_(rosso),_308_(nero)/all","472 (rosso), 308 (nero)","Göttweig, Stiftsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/praga/praga,_biblioteca_nazionale/_viii_d_1/243v-244v"," VIII D 1","Praga, Biblioteca Nazionale"
"https://imagoarchive.it/ontology/resources/manuscript/stoccarda/__stuttgart,_württembergische_landesbibliothek/hb.i.248/97r-101r","HB.I.248","  Stuttgart, Württembergische Landesbibliothek"
